coefficient,std_error
0.0,NaN
0.0,NaN
0.0,NaN
0.0,NaN
0.0,NaN
0.03114318045198675,0.0002700889456079241
0.0,NaN
0.0012764372074637825,1.0820644839500358e-5
0.0,NaN
-0.0025308799083167983,2.8295459608006922e-5
-0.0019037820847294992,6.523165059732611e-5
9.686742569113494e-6,6.66597466617257e-7
0.0,NaN
0.0,NaN
-0.0010188283877828688,2.6529231601638183e-5
6.170092866347482e-5,7.272996800834138e-7
-3.193092122941796e-5,4.624042495545535e-6
5.65085436239791e-7,4.5967945479561816e-8
0.0,NaN
-0.001416855677339767,3.5539919971744366e-5
0.00018469230256291014,4.037539051433336e-6
0.0,NaN
-2.3385571784456392e-5,2.280960582606872e-7
0.0,NaN
0.012167601786739903,0.0001441790594675142
-0.0020197526451393136,1.5957172296245467e-5
1.2695574050796743e-7,1.2246129562119555e-9
0.0,NaN
-0.00015894162366269647,1.6257905297237844e-6
2.2064015171352646e-5,1.7506153248114908e-7
0.0,NaN
0.0,NaN
0.0,NaN
0.0,NaN
0.01006786563975645,6.320869032042404e-5
-0.0008690888546060872,7.432356784828983e-6
